Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
83,VHF 83,161.775000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
87,VHF 87,157.375000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
88,Nawaka,157.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,1.0W,,,,,
101,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
102,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
103,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
104,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
105,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
106,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
107,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
108,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
109,PMR 9,446.106250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
110,PMR10*,446.118750,,0.000000,DTCS,88.5,88.5,115,NN,115,Tone->Tone,NFM,5.00,,5.0W,,,,,
111,PMR11*,446.131250,,0.000000,DTCS,88.5,88.5,125,NN,125,Tone->Tone,NFM,5.00,,5.0W,,,,,
112,PMR12*,446.143750,,0.000000,DTCS,88.5,88.5,152,NN,152,Tone->Tone,NFM,5.00,,5.0W,,,,,
113,PMR13*,446.156250,,0.000000,DTCS,88.5,88.5,172,NN,172,Tone->Tone,NFM,5.00,,5.0W,,,,,
114,PMR14*,446.168750,,0.000000,DTCS,88.5,88.5,226,NN,226,Tone->Tone,NFM,5.00,,5.0W,,,,,
115,PMR15*,446.181250,,0.000000,DTCS,88.5,88.5,263,NN,263,Tone->Tone,NFM,5.00,,5.0W,,,,,
116,PMR16*,446.193750,,0.000000,DTCS,88.5,88.5,315,NN,315,Tone->Tone,NFM,5.00,,5.0W,,,,,
117,KEN 1,446.006250,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
118,KEN 2,446.093750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
119,KEN 3,446.031250,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
120,KEN 4,446.068750,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
121,KEN 5,446.043750,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
122,KEN 6,446.018750,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
123,FRS 1,462.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
124,FRS 2,462.587500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
125,LPD 1,434.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
126,LPD 2,434.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,5.0W,,,,,
