Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,JAKT 1,155.425,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,
2,JAKT 2,155.475,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,
3,JAKT 3,155.500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,
4,JAKT 4,155.525,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,
5,JAKT 5,156.000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,
6,JAKT 6,155.400,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,
7,JAKT 7,155.450,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,
