Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
64,CB 63*,476.9875,,,,88.5,88.5,23,NN,NFM,12.5,,Reserved for future use,,,
65,CB 64,477.0125,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
66,CB 65,477.0375,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
67,CB 66,477.0625,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
68,CB 67,477.0875,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
69,CB 68,477.1125,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
70,CB 69,477.1375,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
71,CB 70,477.1625,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
72,CB 71R,477.1875,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 41 repeater input (use chan 41 duplex for repeater),,,
73,CB 72R,477.2125,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 42 repeater input (use chan 42 duplex for repeater),,,
74,CB 73R,477.2375,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 43 repeater input (use chan 43 duplex for repeater),,,
75,CB 74R,477.2625,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 44 repeater input (use chan 44 duplex for repeater),,,
76,CB 75R,477.2875,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 45 repeater input (use chan 45 duplex for repeater),,,
77,CB 76R,477.3125,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 46 repeater input (use chan 46 duplex for repeater),,,
78,CB 77R,477.3375,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 47 repeater input (use chan 47 duplex for repeater),,,
79,CB 78R,477.3625,,,,88.5,88.5,23,NN,NFM,12.5,,Chan 48 repeater input (use chan 48 duplex for repeater),,,
80,CB 79,477.3875,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
81,CB 80,477.4125,,,,88.5,88.5,23,NN,NFM,12.5,,,,,
